|X Start,Y Start,Z Start,X Rot,Y Rot,Z Rot,X Disp,Y Disp,Z Disp,X Rot Disp,Y Rot Disp,Z Rot Disp|
0.0,0.0381,0.0381,0.0,0.0,0.0,-0.0051666249275707336,-0.0001959234596929803,-0.0050769406909285716,-0.00091790996560438807,-0.15058729812379815,0.0038648289462675676
0.0381,0.0,0.0381,0.0,0.0,0.0,-0.0049641879148106778,4.441175026032547e-06,-2.6925914610948206e-05,0.016335228861924581,-0.14977744313630659,0.022061917702034344
0.0381,0.0381,0.0,0.0,0.0,0.0,-9.797537483014847e-05,2.1045092581190123e-05,-8.4357011577691367e-06,-0.0024954819656357141,-0.15157739087773101,0.0053694701698030417
0.0762,0.0381,0.0381,0.0,0.0,0.0,-0.0051562526267680342,0.00020018308028587749,0.0050501263484685546,0.0030755838640981509,-0.00033461018726908809,-0.00040218747979919709
0.0381,0.0762,0.0381,0.0,0.0,0.0,-0.0053604859138121587,1.2996415825944391e-17,1.0535871365508358e-05,-1.7163186164072483e-15,-0.15004555038726058,-1.8414554131425588e-14
0.0381,0.0381,0.0762,0.0,0.0,0.0,-0.01023365651619476,-1.5778521900556264e-05,-1.0715827483768825e-05,0.00040727377584935236,-0.0026500412963622261,0.0019719397483566651
0.0,0.0381,0.11430000000000001,0.0,0.0,0.0,-0.0051217521981008199,-1.1892854333520821e-05,0.0051104481962354655,0.00099106596515529592,0.17287912087146745,8.5458896783901116e-07
0.0381,0.0,0.11430000000000001,0.0,0.0,0.0,-0.0051333611207926289,-1.3095635458879956e-05,1.5840777979825659e-06,-0.018305521217442527,0.1599120736283087,0.00024262424108405218
0.0762,0.0381,0.11430000000000001,0.0,0.0,0.0,-0.0051560210744843763,-1.162962737485962e-06,-0.0051214089918431441,-0.0017988051175259567,0.00052560008942880646,6.490158093362989e-05
0.0381,0.0762,0.11430000000000001,0.0,0.0,0.0,-0.0051440143215967706,4.4923184946400405e-18,-1.4927618823218286e-05,1.8957944220624883e-15,0.16061063509387291,-1.5552678717298825e-14
0.0381,0.0381,0.1524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0381,0.1905,0.0,0.0,0.0,-0.0051217521980491919,-1.1892854334008168e-05,-0.0051104481961838245,-0.00099106596515691702,-0.1728791208699188,8.5458895931840182e-07
0.0381,0.0,0.1905,0.0,0.0,0.0,-0.0051333611207405256,-1.3095635458887781e-05,-1.5840777979980856e-06,0.018305521217456669,-0.15991207362690008,0.00024262424124324997
0.0762,0.0381,0.1905,0.0,0.0,0.0,-0.0051560210744327354,-1.1629627370122877e-06,0.0051214089917914355,0.0017988051175263462,-0.00052560008774943194,6.4901580905669468e-05
0.0381,0.0762,0.1905,0.0,0.0,0.0,-0.0051440143215456336,5.6486807070421915e-18,1.4927618823213551e-05,-2.0643588027758734e-15,-0.16061063509246656,-1.666295443455503e-14
0.0381,0.0381,0.22860000000000003,0.0,0.0,0.0,-0.010233656516091446,-1.5778521900566099e-05,1.0715827483747127e-05,-0.00040727377584872287,0.0026500412976819244,0.0019719397483534359
0.0,0.0381,0.2667,0.0,0.0,0.0,-0.0051666249274157205,-0.00019592345969242527,0.0050769406909802507,0.00091790996560233936,0.15058729812516097,0.0038648289462498808
0.0381,0.0,0.2667,0.0,0.0,0.0,-0.0049641879146562198,4.4411750260337371e-06,2.6925914610939648e-05,-0.016335228861924928,0.14977744313766445,0.022061917702021261
0.0762,0.0381,0.2667,0.0,0.0,0.0,-0.0051562526266130341,0.00020018308028533357,-0.0050501263485202832,-0.0030755838640961646,0.00033461018863201951,-0.00040218747979964324
